"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_RaidTimeEnabled","Raid time is enabled, the raid is not available at this time, check out the information about the server.","Raid time is enabled, the raid is not available at this time, check out the information about the server.","Razie je povolena, v tuto chvíli není nálet k dispozici, podívejte se na informace serveru.","Die Raid-Zeit ist aktiviert, der Raid ist derzeit nicht verfügbar, bitte lesen Sie die Serverinformationen.","Рейд-тайм включен, в данное время рейд не доступен, ознакомьтесь с информацией о сервере.","RAID Time jest włączony, w tej chwili RAID nie jest dostępny, sprawdź informacje o serwerze.","A Raid idő engedélyezve van, a raid jelenleg nem érhető el, nézze meg a szerverre vonatkozó információkat.","Il raid Time è abilitato, il raid non è disponibile in questo momento, controlla le informazioni sul server.","El tiempo de RAID está activado, el tiempo de RAID no está disponible en este momento, consulte la información del servidor.","RAID Time est activé, le RAID n'est pas disponible pour le moment, consultez les informations sur le serveur.","Raid时间已启用，此时raid不可用，查看有关服务器的信息。","Raid時間が有効になっている、raidは、この時点では利用できません、サーバーに関する情報をチェックしてください。","O RAID time está ativado, o RAID não está disponível no momento, consulte as informações do servidor.","Raid时间已启用，此时raid不可用，查看有关服务器的信息。",
"STR_RaidGateOnlyEnabled","The raid is only accessible through a gate with an existing lock.","The raid is only accessible through a gate with an existing lock.","Nájezd je přístupný pouze po bráně s dostupným zámkem.","Der Überfall ist nur über ein Tor mit einem vorhandenen Schloss zugänglich.","Рейд доступен только по воротам с имеющимся замком.","Nalot jest dostępny tylko przy bramie z istniejącym zamkiem.","A raid csak egy meglévő zárral rendelkező kapun keresztül érhető el.","Il raid è accessibile solo al cancello con un lucchetto disponibile.","La incursión solo está disponible a través de una puerta con una Cerradura existente.","Le RAID n'est accessible que par la porte avec la serrure disponible.","Raid只能通过带有现有锁的门访问。","Raidは、既存のロック付きのゲートを介してのみアクセスできます。","O ataque está disponível apenas no portão com um castelo existente.","Raid只能通过带有现有锁的门访问。",
"STR_RaidMeleeDisabled","Melee weapon raid is disabled on this server.","Melee weapon raid is disabled on this server.","Nálet zbraní na blízko je na tomto serveru zakázán.","Der Schlachtzug mit Nahkampfwaffen ist auf diesem Server deaktiviert.","Рейд оружием ближнего боя отключен на данном сервере.","RAID bronią białą jest wyłączony na tym serwerze.","Közelharci fegyver raid le van tiltva ezen a szerveren.","Il raid con armi da mischia è disabilitato su questo server.","La incursión de armas cuerpo a cuerpo está desactivada en este servidor.","Le RAID de mêlée est désactivé sur ce serveur.","此服务器上禁用近战武器raid。","このサーバーでは近接武器の襲撃が無効になっています。","Ataque corpo a corpo está Desativado neste servidor.","此服务器上禁用近战武器raid。",
"STR_RaidNotificationTitle","Information","Information","Informace","Information","Информация","Informacje","Információ","Informazione","Información","Information","资料","情報","Informação","资料",
"STR_BLANKNotification_RaidEnabled","There is a raid time now, you can raid.","There is a raid time now, you can raid.","Teď je čas na nájezd, můžeme zaútočit.","Jetzt gibt es eine Überfallzeit, man kann überfallen.","Сейчас идёт рейд-тайм, можно рейдить.","Teraz jest RAID-time, możesz RAID.","Van egy raid idő most, akkor raid.","Ora c'è un raid time, puoi fare irruzione.","Ahora hay un tiempo de redada, podemos redaccionar.","Maintenant, il y a un RAID Time, vous pouvez RAID.","现在有一个raid时间，你可以raid。","今raid時間があります、あなたはraidすることができます。","Agora é tempo de invasão, podemos invadir.","现在有一个raid时间，你可以raid。",
"STR_BLANKNotification_RaidDisabled","The raid is now completely disabled, as the time of the raid has not come.","The raid is now completely disabled, as the time of the raid has not come.","Nyní je nájezd zcela vypnutý, protože čas náletu nenastal.","Der Überfall ist jetzt vollständig deaktiviert, da die Zeit des Überfalls nicht gekommen ist.","Сейчас рейд полностью отключен, так как время рейда не настало.","Teraz nalot jest całkowicie wyłączony, ponieważ czas nalotu nie nadszedł.","A raid most teljesen le van tiltva, mivel a raid ideje még nem jött el.","Ora il raid è completamente spento, poiché non è giunto il momento del RAID.","Ahora la incursión está completamente desactivada, ya que no ha llegado el momento de la incursión.","Maintenant, le RAID est complètement désactivé, car l'heure du RAID n'est pas venue.","Raid现在完全禁用，因为raid的时间还没有到来。","Raidの時間が来ていないので、raidは完全に無効になりました。","Agora o ataque está completamente desligado, pois a hora do ataque não chegou.","Raid现在完全禁用，因为raid的时间还没有到来。",
"STR_BLANKNotification_GateOnlyEnabled","Gate-only raid: enabled.","Gate-only raid: enabled.","Nájezd jen na bránu:","Überfall nur am Tor: aktiviert.","Рейд только по воротам: включено.","Nalot tylko na bramkę: włączony.","Kapu-csak raid: engedélyezve.","RAID solo in porta: abilitato.","RAID solo en la puerta: incluido.","RAID uniquement à la porte: inclus.","仅限门的raid:启用.","ゲート専用raid:有効。","Ataque apenas à baliza: ligado.","仅限门的raid:启用.",
"STR_BLANKNotification_GateOnlyDisabled","Gate-only raid: disabled.","Gate-only raid: disabled.","Nájezd jen na bránu: vypnuto.","Überfall nur am Tor: aus.","Рейд только по воротам: выключено.","Nalot tylko na bramę: wyłączony.","Csak kapu raid: tiltva.","RAID solo in porta: spento.","Ataque solo en la puerta: apagado.","RAID uniquement à la porte: désactivé.","仅限门的raid：禁用。","ゲートのみraid:無効。","Ataque apenas à baliza: desligado.","仅限门的raid：禁用。",
"STR_BLANKNotification_MeleeEnabled","With edged weapons: Allowed.","With edged weapons: Allowed.","Studené zbraně: povoleno.","Mit kalten Waffen: Erlaubt.","Холодным оружием: Разрешено.","Broń biała: dozwolone.","Szélű fegyverekkel: megengedett.","Armi da mischia: consentite.","Armas blancas: Permitido.","Armes blanches: Autorisées.","带刃武器：允许。","刃付き武器：許可されています。","Armas brancas: permitido.","带刃武器：允许。",
"STR_BLANKNotification_MeleeDisabled","Edged weapons: Prohibited.","Edged weapons: Prohibited.","Studené zbraně: zakázáno.","Mit kalten Waffen: Verboten.","Холодным оружием: Запрещено.","Broń biała: zabronione.","Szélű fegyverek: tilos.","Armi da mischia: vietate.","Armas blancas: Prohibido.","","刃武器：禁止。","刃付き武器：禁止されています。","Armas brancas: proibido.","刃武器：禁止。",
